"主管部门","所在省份","学校性质","学校数量","包含年份","包含类型"
"上海市","上海市","本科","168","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"上海市","上海市","高职（专科）","109","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"上海市","未知","成人高等教育","102","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","成人高等学校"
"上海市","【小计】","","102","",""
"上海市 中国科学院","上海市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"上海市 中国科学院","【小计】","","8","",""
"上海市教委","上海市","本科","69","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"上海市教委","上海市","高职（专科）","91","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"上海市教委","【小计】","","160","",""
"中共中央党校","未知","成人高等教育","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","成人高等学校"
"中共中央党校","【小计】","","8","",""
"中共中央办公厅","未知","成人高等教育","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","成人高等学校"
"中共中央办公厅","【小计】","","8","",""
"中华全国总工会","北京市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"中华全国总工会","【小计】","","8","",""
"中华全国新闻工作者协会","未知","成人高等教育","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","成人高等学校"
"中华全国新闻工作者协会","【小计】","","8","",""
"中华妇女联合会","北京市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"中华妇女联合会","【小计】","","8","",""
"中国地震局","廊坊市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"中国地震局","【小计】","","8","",""
"中国社会科学院","北京市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"中国社会科学院","【小计】","","8","",""
"中国科学院","北京市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"中国科学院","合肥市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"中国科学院","未知","成人高等教育","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","成人高等学校"
"中国科学院","【小计】","","8","",""
"中央办公厅","北京市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"中央办公厅","【小计】","","8","",""
"中央统战部","广州市","本科","7","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"中央统战部","泉州市","本科","7","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"中央统战部","【小计】","","7","",""
"云南省","临沧市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"云南省","临沧市","高职（专科）","2","2024, 2025","普通高等学校"
"云南省","丽江市","本科","2","2024, 2025","普通高等学校"
