"年份","学校标识码","学校名称","主管部门","所在地","所在省份","办学层次","学校性质","学校类型","备注"
"2017","4211050001.0","北京市海淀区职工大学","北京市","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4211050002.0","北京市东城区职工业余大学","北京市","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4211050004.0","北京市崇文区职工大学","北京市","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4211050005.0","北京宣武红旗业余大学","北京市","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4211050006.0","北京市石景山区业余大学","北京市","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4211050007.0","北京市朝阳区职工大学","北京市","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4211050018.0","北京医药集团职工大学","北京市","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4211050025.0","北京市总工会职工大学","北京市","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4211050038.0","中央党校继续教育学院","中共中央党校","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4211050043.0","中国记协职工新闻学院","中华全国新闻工作者协会","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4211050044.0","中南海业余大学","中共中央办公厅","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4211050061.0","北京教育学院","北京市","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4211051160.0","北京开放大学","北京市","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4211051161.0","国家开放大学（中央广播电视大学）","教育部","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4211051167.0","民航管理干部学院","交通运输部","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4211051624.0","北京市丰台区职工大学","北京市","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4211051626.0","北京市西城经济科学大学","北京市","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4211051630.0","北京市农工商联合总公司职工大学","北京市","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4211051643.0","公安部管理干部学院","公安部","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4211051651.0","国家法官学院","最高人民法院","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4211051800.0","华北电业联合职工大学","北京市","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4211051837.0","首都联合职工大学","北京市","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4211051898.0","国家检察官学院","最高人民检察院","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4212050063.0","天津市和平区新华职工大学","天津市","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4212050064.0","天津市河西区职工大学","天津市","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4212050065.0","天津市河东区职工大学","天津市","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4212050066.0","天津市红桥区职工大学","天津市","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4212050068.0","天津市南开区职工大学","天津市","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4212050070.0","天津市建筑工程职工大学","天津市","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4212050073.0","天津市职工经济技术大学","天津市","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4212050095.0","天津市渤海化工职工学院","天津市","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4212050121.0","天津市管理干部学院","天津市","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4212051171.0","天津市广播电视大学","天津市","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4212051172.0","天津物资管理干部学院","天津市","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4212051175.0","天津市政法管理干部学院","天津市","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4212051176.0","天津市工会管理干部学院","天津市","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4212051659.0","天津市房地产局职工大学","天津市","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4213050139.0","河北地质职工大学","河北省","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4213051177.0","河北省广播电视大学","河北省","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4213051180.0","石家庄职工大学","河北省","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4231051332.0","海关管理干部学院","海关总署","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4213051723.0","河北管理干部学院","河北省","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4213051802.0","河北青年管理干部学院","河北省","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4214050162.0","太原化学工业集团有限公司 职工大学","山西省","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4214050163.0","山西机电职工学院","山西省","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4214050164.0","太原钢铁(集团)有限公司 职工钢铁学院","山西省","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4214050166.0","山西职工医学院","山西省","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4214050167.0","山西煤炭职工联合大学","山西省","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4214050169.0","山西兵器工业职工大学","山西省","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4214050175.0","山西省职工工艺美术学院","山西省","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4214050197.0","山西省吕梁市教育学院","山西省","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4214051187.0","山西省广播电视大学","山西省","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4214051787.0","山西省政法管理干部学院","山西省","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4214051788.0","长治市教育学院","山西省","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4215050204.0","包头市职工大学","内蒙古自治区","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4215051192.0","内蒙古自治区广播电视大学","内蒙古自治区","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4221051087.0","辽宁兵器工业职工大学","辽宁省","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4221051097.0","辽宁省直属机关职工大学","辽宁省","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4221051110.0","大连工人大学","辽宁省","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4221051117.0","空军第四职工大学","空军装备部","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4221051118.0","海军职工大学","海军装备部","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
"2017","4221051120.0","大连职工大学","辽宁省","未知","未知","成人高等教育","成人高等教育","成人高等学校",""
