"主管部门","所在省份","学校性质","学校数量","普通高等学校数","成人高等学校数","年份范围"
"上海市","上海市","本科","168","168","0","2017-2025"
"上海市","上海市","高职（专科）","109","109","0","2017-2025"
"上海市","未知","成人高等教育","102","0","102","2017-2025"
"上海市 中国科学院","上海市","本科","8","8","0","2017-2025"
"上海市教委","上海市","本科","69","69","0","2017-2025"
"上海市教委","上海市","高职（专科）","91","91","0","2017-2025"
"中共中央党校","未知","成人高等教育","8","0","8","2017-2025"
"中共中央办公厅","未知","成人高等教育","8","0","8","2017-2025"
"中华全国总工会","北京市","本科","8","8","0","2017-2025"
"中华全国新闻工作者协会","未知","成人高等教育","8","0","8","2017-2025"
"中华妇女联合会","北京市","本科","8","8","0","2017-2025"
"中国地震局","廊坊市","本科","8","8","0","2017-2025"
"中国社会科学院","北京市","本科","8","8","0","2017-2025"
"中国科学院","北京市","本科","8","8","0","2017-2025"
"中国科学院","合肥市","本科","8","8","0","2017-2025"
"中国科学院","未知","成人高等教育","8","0","8","2017-2025"
"中央办公厅","北京市","本科","8","8","0","2017-2025"
"中央统战部","广州市","本科","7","7","0","2019-2025"
"中央统战部","泉州市","本科","7","7","0","2019-2025"
"云南省","临沧市","本科","8","8","0","2017-2025"
"云南省","临沧市","高职（专科）","2","2","0","2024-2025"
"云南省","丽江市","本科","2","2","0","2024-2025"
"云南省","丽江市","高职（专科）","9","9","0","2017-2025"
"云南省","保山市","本科","8","8","0","2017-2025"
"云南省","保山市","高职（专科）","11","11","0","2017-2025"
"云南省","大理市","本科","4","4","0","2019-2022"
"云南省","大理白族 自治州","本科","2","2","0","2017"
"云南省","大理白族 自治州","高职（专科）","1","1","0","2017"
"云南省","大理白族自治州","本科","10","10","0","2019-2025"
"云南省","大理白族自治州","高职（专科）","15","15","0","2017-2025"
"云南省","德宏傣族景颇族自治州","本科","1","1","0","2025"
"云南省","德宏傣族景颇族自治州","高职（专科）","15","15","0","2017-2025"
"云南省","怒江傈僳族自治州","高职（专科）","2","2","0","2024-2025"
"云南省","文山壮族苗族自治州","本科","8","8","0","2017-2025"
"云南省","文山壮族苗族自治州","高职（专科）","3","3","0","2023-2025"
"云南省","昆明市","本科","96","96","0","2017-2025"
"云南省","昆明市","高职（专科）","159","159","0","2017-2025"
"云南省","昭通市","本科","8","8","0","2017-2025"
"云南省","昭通市","高职（专科）","11","11","0","2017-2025"
"云南省","普洱市","本科","8","8","0","2017-2025"
"云南省","曲靖市","本科","9","9","0","2017-2025"
"云南省","曲靖市","高职（专科）","24","24","0","2017-2025"
"云南省","未知","成人高等教育","10","0","10","2017-2025"
"云南省","楚雄彝族 自治州","本科","1","1","0","2017"
"云南省","楚雄彝族 自治州","高职（专科）","1","1","0","2017"
"云南省","楚雄彝族自治州","本科","7","7","0","2019-2025"
"云南省","楚雄彝族自治州","高职（专科）","13","13","0","2019-2025"
"云南省","玉溪市","本科","8","8","0","2017-2025"
"云南省","玉溪市","高职（专科）","11","11","0","2017-2025"
"云南省","红河哈尼族彝族自治州","本科","8","8","0","2017-2025"
"云南省","红河哈尼族彝族自治州","高职（专科）","19","19","0","2017-2025"
"云南省","红河州","高职（专科）","3","3","0","2020-2022"
"云南省","西双版纳傣族自治州","高职（专科）","8","8","0","2017-2025"
"云南省","迪庆藏族自治州","高职（专科）","3","3","0","2023-2025"
"云南省教育厅","丽江市","本科","8","8","0","2017-2025"
"云南省教育厅","文山壮族苗族自治州","高职（专科）","8","8","0","2017-2025"
"云南省教育厅","昆明市","本科","64","64","0","2017-2025"
"云南省教育厅","昆明市","高职（专科）","87","87","0","2017-2025"
"云南省教育厅","楚雄彝族 自治州","高职（专科）","1","1","0","2017"
"云南省教育厅","楚雄彝族自治州","高职（专科）","1","1","0","2019"
"交通运输部","上海市","高职（专科）","1","1","0","2017"
"交通运输部","大连市","本科","8","8","0","2017-2025"
"交通运输部","天津市","本科","1","1","0","2017"
"交通运输部","广州市","高职（专科）","1","1","0","2017"
"交通运输部","德阳市","本科","1","1","0","2017"
"交通运输部","未知","成人高等教育","8","0","8","2017-2025"
"交通运输部（中国民用航空局）","上海市","高职（专科）","7","7","0","2019-2025"
"交通运输部（中国民用航空局）","天津市","本科","7","7","0","2019-2025"
"交通运输部（中国民用航空局）","广州市","高职（专科）","7","7","0","2019-2025"
"交通运输部（中国民用航空局）","德阳市","本科","7","7","0","2019-2025"
"公安部","北京市","本科","8","8","0","2017-2025"
"公安部","南京市","本科","7","7","0","2019-2025"
"公安部","宁波市","本科","1","1","0","2017"
"公安部","广州市","高职（专科）","1","1","0","2017"
"公安部","廊坊市","本科","8","8","0","2017-2025"
"公安部","昆明市","高职（专科）","1","1","0","2017"
"公安部","未知","成人高等教育","8","0","8","2017-2025"
"公安部","沈阳市","本科","8","8","0","2017-2025"
"公安部","郑州市","本科","8","8","0","2017-2025"
"共青团中央","北京市","本科","8","8","0","2017-2025"
"内蒙古自治区","乌兰察布市","本科","8","8","0","2017-2025"
"内蒙古自治区","乌兰察布市","高职（专科）","16","16","0","2017-2025"
"内蒙古自治区","乌海市","高职（专科）","8","8","0","2017-2025"
"内蒙古自治区","兴安盟","本科","1","1","0","2025"
"内蒙古自治区","兴安盟","高职（专科）","7","7","0","2017-2024"
"内蒙古自治区","包头市","本科","8","8","0","2017-2025"
"内蒙古自治区","包头市","高职（专科）","32","32","0","2017-2025"
"内蒙古自治区","呼伦贝尔市","本科","8","8","0","2017-2025"
"内蒙古自治区","呼伦贝尔市","高职（专科）","24","24","0","2017-2025"
"内蒙古自治区","呼和浩特市","本科","67","67","0","2017-2025"
"内蒙古自治区","呼和浩特市","高职（专科）","61","61","0","2017-2025"
"内蒙古自治区","巴彦淖尔市","本科","8","8","0","2017-2025"
"内蒙古自治区","未知","成人高等教育","16","0","16","2017-2025"
"内蒙古自治区","赤峰市","本科","8","8","0","2017-2025"
"内蒙古自治区","赤峰市","高职（专科）","22","22","0","2017-2025"
"内蒙古自治区","通辽市","本科","8","8","0","2017-2025"
"内蒙古自治区","通辽市","高职（专科）","16","16","0","2017-2025"
"内蒙古自治区","鄂尔多斯市","本科","8","8","0","2017-2025"
"内蒙古自治区","鄂尔多斯市","高职（专科）","24","24","0","2017-2025"
"内蒙古自治区","锡林郭勒盟","高职（专科）","8","8","0","2017-2025"
"内蒙古自治区","阿拉善盟","高职（专科）","8","8","0","2017-2025"
"内蒙古自治区教育厅","呼和浩特市","本科","16","16","0","2017-2025"
"内蒙古自治区教育厅","呼和浩特市","高职（专科）","48","48","0","2017-2025"
"内蒙古自治区教育厅","巴彦淖尔市","高职（专科）","8","8","0","2017-2025"
"内蒙古自治区教育厅","赤峰市","高职（专科）","8","8","0","2017-2025"
"北京市","北京市","本科","177","177","0","2017-2025"
"北京市","北京市","高职（专科）","125","125","0","2017-2025"
"北京市","未知","成人高等教育","120","0","120","2017-2025"
"北京市教委","北京市","本科","50","50","0","2017-2025"
"北京市教委","北京市","高职（专科）","72","72","0","2017-2025"
"司法部","保定市","本科","8","8","0","2017-2025"
"吉林省","吉林省","本科","41","41","0","2017-2025"
"吉林省","吉林省","高职（专科）","28","28","0","2017-2025"
"吉林省","四平市","本科","8","8","0","2017-2025"
"吉林省","四平市","高职（专科）","17","17","0","2017-2025"
"吉林省","延边朝鲜族 自治州","本科","1","1","0","2017"
"吉林省","延边朝鲜族 自治州","高职（专科）","1","1","0","2017"
"吉林省","延边朝鲜族自治州","本科","7","7","0","2019-2025"
"吉林省","延边朝鲜族自治州","高职（专科）","7","7","0","2019-2025"
"吉林省","未知","成人高等教育","112","0","112","2017-2025"
"吉林省","松原市","高职（专科）","8","8","0","2017-2025"
"吉林省","白城市","本科","8","8","0","2017-2025"
"吉林省","白城市","高职（专科）","16","16","0","2017-2025"
"吉林省","白山市","高职（专科）","8","8","0","2017-2025"
"吉林省","辽源市","高职（专科）","8","8","0","2017-2025"
"吉林省","通化市","本科","8","8","0","2017-2025"
"吉林省","通化市","高职（专科）","5","5","0","2021-2025"
"吉林省","长春市","本科","115","115","0","2017-2025"
"吉林省","长春市","高职（专科）","61","61","0","2017-2025"
"吉林省教育厅","四平市","本科","8","8","0","2017-2025"
"吉林省教育厅","延边朝鲜族 自治州","高职（专科）","1","1","0","2017"
"吉林省教育厅","延边朝鲜族自治州","高职（专科）","7","7","0","2019-2025"
"吉林省教育厅","梅河口市","高职（专科）","2","2","0","2020-2021"
"吉林省教育厅","通化市","高职（专科）","4","4","0","2022-2025"
"吉林省教育厅","长春市","本科","88","88","0","2017-2025"
"吉林省教育厅","长春市","高职（专科）","48","48","0","2017-2025"
"四川省","乐山市","本科","8","8","0","2017-2025"
"四川省","乐山市","高职（专科）","8","8","0","2017-2025"
"四川省","内江市","本科","8","8","0","2017-2025"
"四川省","内江市","高职（专科）","23","23","0","2017-2025"
"四川省","凉山彝族 自治州","本科","1","1","0","2017"
"四川省","凉山彝族自治州","本科","7","7","0","2019-2025"
"四川省","凉山彝族自治州","高职（专科）","7","7","0","2019-2025"
"四川省","南充市","本科","16","16","0","2017-2025"
"四川省","南充市","高职（专科）","14","14","0","2017-2025"
"四川省","宜宾市","本科","8","8","0","2017-2025"
"四川省","宜宾市","高职（专科）","10","10","0","2017-2025"
