状态	地区	学校标识码	学校名称	主管部门	备注	曾用名
1	北京市	4211050001	北京市海淀区职工大学	北京市		
1	北京市	4211050002	北京市东城区职工业余大学	北京市		
1	北京市	4211050004	北京市崇文区职工大学	北京市		
1	北京市	4211050005	北京宣武红旗业余大学	北京市		
1	北京市	4211050006	北京市石景山区业余大学	北京市		
1	北京市	4211050007	北京市朝阳区职工大学	北京市		
1	北京市	4211050018	北京医药职工大学	北京市		北京医药集团职工大学
1	北京市	4211050025	北京市总工会职工大学	北京市		
1	北京市	4211050038	中央党校继续教育学院	中共中央党校		
1	北京市	4211050043	中国记协职工新闻学院	中华全国新闻工作者协会		
1	北京市	4211050044	中南海业余大学	中共中央办公厅		
1	北京市	4211050061	北京教育学院	北京市		
1	北京市	4211051160	北京开放大学	北京市		
1	北京市	4211051161	国家开放大学	教育部		国家开放大学（中央广播电视大学）
1	北京市	4211051167	民航管理干部学院	交通运输部		
1	北京市	4211051624	北京市丰台区职工大学	北京市		
1	北京市	4211051626	北京市西城经济科学大学	北京市		
1	北京市	4211051630	北京市农工商联合总公司职工大学	北京市		
1	北京市	4211051643	公安部管理干部学院	公安部		
1	北京市	4211051651	国家法官学院	最高人民法院		
1	北京市	4211051800	华北电业联合职工大学	北京市		
1	北京市	4211051837	首都联合职工大学	北京市		
1	北京市	4211051898	国家检察官学院	最高人民检察院		
1	天津市	4212050063	天津市和平区新华职工大学	天津市		
1	天津市	4212050064	天津市河西区职工大学	天津市		
1	天津市	4212050065	天津市河东区职工大学	天津市		
1	天津市	4212050066	天津市红桥区职工大学	天津市		
1	天津市	4212050068	天津市南开区职工大学	天津市		
1	天津市	4212050070	天津市建筑工程职工大学	天津市		
1	天津市	4212050073	天津市职工经济技术大学	天津市		
1	天津市	4212050095	天津市渤海化工职工学院	天津市		
1	天津市	4212050121	天津市管理干部学院	天津市		
1	天津市	4212051171	天津开放大学	天津市		天津市广播电视大学
1	天津市	4212051175	天津市政法管理干部学院	天津市		
1	天津市	4212051176	天津市工会管理干部学院	天津市		
1	天津市	4212051659	天津市房地产局职工大学	天津市		
1	河北省	4213051177	河北开放大学	河北省		河北省广播电视大学
1	河北省	4213051180	石家庄职工大学	河北省		
1	河北省	4213051723	河北管理干部学院	河北省		
1	河北省	4213051802	河北青年管理干部学院	河北省		
1	山西省	4214050162	太原化学工业集团有限公司职工大学	山西省		
1	山西省	4214050163	山西机电职工学院	山西省		
1	山西省	4214050164	太原钢铁(集团)有限公司职工钢铁学院	山西省		
1	山西省	4214050167	山西煤炭职工联合大学	山西省		
1	山西省	4214050169	山西兵器工业职工大学	山西省		
1	山西省	4214050175	山西省职工工艺美术学院	山西省		
1	山西省	4214051187	山西开放大学	山西省		山西省广播电视大学
1	山西省	4214051787	山西省政法管理干部学院	山西省		
1	内蒙古自治区	4215050204	包头市职工大学	内蒙古自治区		
1	内蒙古自治区	4215051192	内蒙古开放大学	内蒙古自治区		内蒙古自治区广播电视大学
1	辽宁省	4221051087	辽宁兵器工业职工大学	辽宁省		
1	辽宁省	4221051110	大连工人大学	辽宁省		
1	辽宁省	4221051117	空军第四职工大学	空军装备部		
1	辽宁省	4221051118	海军职工大学	海军装备部		
1	辽宁省	4221051120	大连职工大学	辽宁省		
1	辽宁省	4221051125	抚顺矿务局职工工学院	辽宁省		
1	辽宁省	4221051126	抚顺石油化工公司职工大学	辽宁省		
1	辽宁省	4221051138	阜新矿务局职工大学	辽宁省		
1	辽宁省	4221051143	朝阳职工工学院	辽宁省		
1	辽宁省	4221051149	大连市教育学院	辽宁省		
1	辽宁省	4221051196	辽宁开放大学	辽宁省		辽宁广播电视大学
1	辽宁省	4221051227	阜新煤炭职工医学专科学校	辽宁省		
1	辽宁省	4221051695	辽宁冶金职工大学	辽宁省		
1	辽宁省	4221051842	辽宁公安司法管理干部学院	辽宁省		
1	辽宁省	4221051843	沈阳机械工业职工大学	辽宁省		
1	辽宁省	4221051845	鞍山钢铁集团公司职工大学	辽宁省		
1	辽宁省	4221051848	沈阳开放大学	辽宁省		沈阳市广播电视大学
1	辽宁省	4221051849	大连开放大学	辽宁省		大连市广播电视大学
1	吉林省	4222050226	长春职工大学	吉林省		
1	吉林省	4222050229	长春市建筑职工业余大学	吉林省		
1	吉林省	4222050232	长春职工医科大学	吉林省		
1	吉林省	4222050234	吉林市职工大学	吉林省		
1	吉林省	4222050236	吉林化学工业公司职工大学	吉林省		
1	吉林省	4222050242	通化市职工大学	吉林省		
1	吉林省	4222050243	通化钢铁公司职工大学	吉林省		
1	吉林省	4222050249	四平农村成人高等专科学校	吉林省		
1	吉林省	4222050252	吉林省教育学院	吉林省		
1	吉林省	4222050253	长春教育学院	吉林省		
1	吉林省	4222051230	吉林开放大学	吉林省		吉林广播电视大学
1	吉林省	4222051243	吉林省经济管理干部学院	吉林省		
1	吉林省	4222051704	吉林职工医科大学	吉林省		
1	吉林省	4222051887	长春开放大学	吉林省		长春广播电视大学
1	黑龙江省	4223050264	黑龙江兵器工业职工大学	黑龙江省		
1	黑龙江省	4223050266	哈尔滨航空职工大学	黑龙江省		
1	黑龙江省	4223050269	哈尔滨市职工大学	黑龙江省		
1	黑龙江省	4223050306	齐齐哈尔市建设职工大学	黑龙江省		
1	黑龙江省	4223050311	齐齐哈尔市职工大学	黑龙江省		
1	黑龙江省	4223050327	鹤岗矿务局职工大学	黑龙江省		
1	黑龙江省	4223050330	大庆石油化工总厂职工大学	黑龙江省		
1	黑龙江省	4223050335	黑龙江省经济管理干部学院	黑龙江省		
