状态	地区	学校标识码	学校名称	主管部门	所在地	办学层次	备注	adminType	categoryName	英文名称	双一流建设	官网链接	更新说明
1	北京市	4111010001	北京大学	教育部	北京市	本科		教育部直属	综合	Peking University	211，985，双一流	http://www.pku.edu.cn/	
1	北京市	4111010002	中国人民大学	教育部	北京市	本科		教育部直属	综合	Renmin University of China	211，985，双一流	https://www.ruc.edu.cn/	
1	北京市	4111010003	清华大学	教育部	北京市	本科		教育部直属	综合	Tsinghua University	211，985，双一流	http://www.tsinghua.edu.cn/	
1	北京市	4111010004	北京交通大学	教育部	北京市	本科		教育部直属	理工	Beijing Jiaotong University	211，双一流	http://www.bjtu.edu.cn/	
1	北京市	4111010005	北京工业大学	北京市	北京市	本科		地方公办	理工	Beijing University of Technology	211，双一流	http://www.bjut.edu.cn/	
1	北京市	4111010006	北京航空航天大学	工业和信息化部	北京市	本科		中央部属	理工	Beihang University	211，985，双一流	https://www.buaa.edu.cn/	
1	北京市	4111010007	北京理工大学	工业和信息化部	北京市	本科		中央部属	理工	Beijing Institute of Technology	211，985，双一流	https://www.bit.edu.cn/	
1	北京市	4111010008	北京科技大学	教育部	北京市	本科		教育部直属	理工	University of Science and Technology Beijing	211，双一流	https://www.ustb.edu.cn/	
1	北京市	4111010009	北方工业大学	北京市	北京市	本科		地方公办	理工	North China University of Technology		http://www.ncut.edu.cn/	
1	北京市	4111010010	北京化工大学	教育部	北京市	本科		教育部直属	理工	Beijing University of Chemical Technology	211，双一流	https://www.buct.edu.cn/	
1	北京市	4111010011	北京工商大学	北京市	北京市	本科		地方公办	财经	Beijing Technology and Business University		https://www.btbu.edu.cn/	
1	北京市	4111010012	北京服装学院	北京市	北京市	本科		地方公办	艺术	Beijing Institute of Fashion Technology		http://www.bift.edu.cn/	
1	北京市	4111010013	北京邮电大学	教育部	北京市	本科		教育部直属	理工	Beijing University of Posts and Telecommunications	211，双一流	https://www.bupt.edu.cn/	
1	北京市	4111010015	北京印刷学院	北京市	北京市	本科		地方公办	理工	Beijing Institute of Graphic Communication		https://www.bigc.edu.cn/	
1	北京市	4111010016	北京建筑大学	北京市	北京市	本科		地方公办	理工	Beijing University of Civil Engineering and Architecture		http://www.bucea.edu.cn/	
